Moment,Reaction,Offensiveness,Responsibility
You realize too late that the office banquet you planned is happening over Ramadan--while a colleague will be fasting.,Claim it was your identical twin.,0.77,-0.46
"You curse loudly when your computer crashes. A co-worker and his young son are standing right there, aghast.",Correct them instantly--do not hold back.,1.50,0.08
You discover that your starting salary is lower than your colleague's despite having the same job title.,Ask Siri what to do.,-0.36,0.46
"When your boss announces that there will be no holiday bonuses, your colleague says, ""Well, that's gay.""",Fake a heart attack.,0.26,-0.66
Your boss refers to the custodian as Juan. His name is John.,Start mentally drafting your letter of resignation.,-0.38,0.81
You get nervous and fake a British accent during your interview--and you get hired.,Accept it and move on.,0.14,1.81
You accidentally sit on ketchup at lunch.,Rant about it on Twitter.,-0.14,1.38
"Only one woman was invited to the planning meeting, and she's clearly noticed.",Pretend you don't speak English.,1.31,-0.28
You leave the handicapped stall only to find a person in a wheelchair waiting to use it.,Play dead.,1.61,-0.42
"Your blind colleague tells you about her recent promotion. You hold up your hand and say, ""High five!""",Sneak out the fire escape.,0.55,-0.48
"On a five-hour business road trip, your co-worker says, ""I made you a playlist that you'll really like. It's all Christian rock.""",Put up your dukes and threaten to fight.,0.61,-0.22
Your boss is in the bathroom stall next to you and starts a conversation.,Make a run for the border.,-0.16,-0.03
"A co-worker tells a racist joke, then says, ""Don't worry, I stole that from Chris Rock.""",Bring coffee for everything with a special ingredient: laxatives.,1.82,-0.51
You start telling a joke and realize halfway through you've forgotten the punch line.,Ask for a raise.,-0.26,0.34
You realize too late that the office banquet you planned is happening over Ramadan--while a colleague will be fasting.,Put up your dukes and threaten to fight.,1.07,-0.79
"You say, ""Nice to meet you,"" to a visiting client. She replies, ""We've actually met. Twice.""",Bring coffee for everything with a special ingredient: laxatives.,2.67,-0.56
"When you bend over to tie your shoe, your pants split open. You really wish you hadn't worn those bright pink undies.",Open mouth. Insert both feet.,-0.34,-0.16
"Your blind colleague tells you about her recent promotion. You hold up your hand and say, ""High five!""",Avoid eye contact and back away slowly.,0.05,0.01
"You refer to your new colleague as ""sir"" and she corrects you.",Eat your co-workers' lunches until you forget your shame.,0.20,-0.66
"You're showing colleagues your vacation photos, but you forgot about the nude selfie.",Rant about it on Twitter.,0.51,0.54
"Your boss tells you to use Photoshop to make the company's PR materials ""more multiracial.""",Rant about it on Twitter.,1.46,-0.23
Your big order from Adult Fantasy Emporium gets delivered to work accidentally--and someone opened it.,Bring in donuts.,-0.04,1.46
You realize too late that the wireless presentation microphone is still on during your bathroom break.,Eat your co-workers' lunches until you forget your shame.,0.49,-0.60
There's a picture with your face photoshopped onto a naked model posted in the stairwell.,Call security.,0.31,3.41
"When recruiting players for the staff softball game, your boss approaches the gay women first.",Hide in the bathroom until it all blows over.,0.09,0.16
You're rocking out to the soundtrack of Disney's Frozen when you realize your headphones aren't plugged in and everyone's staring at you.,Deny it ever happened.,-0.79,0.75
Your big order from Adult Fantasy Emporium gets delivered to work accidentally--and someone opened it.,Write your local congressperson.,-0.42,-0.43
"You forget to include a vegetarian option at the work BBQ. The company president, a vegetarian, is coming.",Laugh out loud and then abruptly stop.,0.15,0.04
You realize too late that the office banquet you planned is happening over Ramadan--while a colleague will be fasting.,Fake a heart attack.,1.28,-0.36
You're adjusting your Spanx alone in the elevator just as the doors open to reveal a waiting crowd.,Growl like a dog.,0.11,-0.40
"You refer to your new colleague as ""sir"" and she corrects you.",Claim it was your identical twin.,0.47,-0.02
"You and a colleague try to sidestep each other in a crowded hallway, but you both step in the same direction. Twice.",Start updating your resume.,-0.91,-0.06
"Your blind colleague tells you about her recent promotion. You hold up your hand and say, ""High five!""",Start updating your resume.,0.19,1.49
You discover that your starting salary is lower than your colleague's despite having the same job title.,Sneak out the fire escape.,-0.57,-1.10
"A co-worker tells a racist joke, then says, ""Don't worry, I stole that from Chris Rock.""",Hide in the bathroom until it all blows over.,-0.42,0.74
You let one rip during the middle of the presentation. Shoulda skipped the chili at lunch...,Start a slow clap.,1.72,-0.05
"When your boss announces that there will be no holiday bonuses, your colleague says, ""Well, that's gay.""",Sneak out the fire escape.,0.27,-0.67
"When recruiting players for the staff softball game, your boss approaches the gay women first.",Avoid eye contact and back away slowly.,0.19,0.08
You start telling a joke and realize halfway through you've forgotten the punch line.,Play dead.,-0.18,0.12
You laugh at a hilarious text during a meeting at the exact moment the boss announces that layoffs are coming.,Eat your co-workers' lunches until you forget your shame.,0.91,-0.29
Your boss refers to the custodian as Juan. His name is John.,Claim you were hacked.,1.52,-0.56
"You refer to your new colleague as ""sir"" and she corrects you.",Curl up into the fetal position.,1.22,-0.55
Your boss is in the bathroom stall next to you and starts a conversation.,Claim you were hacked.,-0.69,-0.56
"Your boss tells you to use Photoshop to make the company's PR materials ""more multiracial.""",Tell them the devil made you do it.,3.12,-0.14
Your boss is in the bathroom stall next to you and starts a conversation.,Sneak out the fire escape.,0.31,-0.37
"Your boss always makes a point to ask the minority employees for the their ""unique"" perspective.",Tell them the devil made you do it.,3.29,-0.69
You accidentally sit on ketchup at lunch.,Sneak out the fire escape.,-0.50,0.11
Your boss is in the bathroom stall next to you and starts a conversation.,Ask Siri what to do.,-0.12,-0.24
"You say, ""Nice to meet you,"" to a visiting client. She replies, ""We've actually met. Twice.""",Tell them the devil made you do it.,2.19,-0.74
Your boss is the horrible blind date that your friend still complains about...,Hide in the bathroom until it all blows over.,-0.21,-0.20
"Your boss always makes a point to ask the minority employees for the their ""unique"" perspective.",Claim it was your identical twin.,0.23,-0.53
There's a picture with your face photoshopped onto a naked model posted in the stairwell.,Make a run for the border.,-0.18,-0.65
You realize too late that the wireless presentation microphone is still on during your bathroom break.,Bring in donuts.,-0.07,1.24
You call your father at home late at night and your boss answers.,Open mouth. Insert both feet.,-0.41,-0.45
Your big order from Adult Fantasy Emporium gets delivered to work accidentally--and someone opened it.,Hang your head in shame.,-1.52,0.14
You're adjusting your Spanx alone in the elevator just as the doors open to reveal a waiting crowd.,Channel your inner Wonder Woman.,-0.32,0.35
Your boss tells you that rainbow flags are unprofessional.,Ask Siri what to do.,-0.78,0.02
Your boss refers to the custodian as Juan. His name is John.,Order a solution from Amazon.,-0.69,-0.14
"When a co-worker announces she's leaving early for a funeral, you instinctively say, ""Have fun!""",Eat your co-workers' lunches until you forget your shame.,2.74,-0.49
"You suggest a meeting over coffee, and your boss assumes it's a date.",Go take an emergency shower because you feel unclean.,-0.21,0.22
You're adjusting your Spanx alone in the elevator just as the doors open to reveal a waiting crowd.,Make crazy eyes until they wet their pants.,0.36,-0.74
You leave the handicapped stall only to find a person in a wheelchair waiting to use it.,Start mentally drafting your letter of resignation.,0.82,-0.19
Your big order from Adult Fantasy Emporium gets delivered to work accidentally--and someone opened it.,Claim it was your identical twin.,-0.53,-0.03
"Only one woman was invited to the planning meeting, and she's clearly noticed.",Call security.,4.10,-0.21
You're adjusting your Spanx alone in the elevator just as the doors open to reveal a waiting crowd.,Order a solution from Amazon.,-0.21,0.35
There's a picture with your face photoshopped onto a naked model posted in the stairwell.,Laugh out loud and then abruptly stop.,-0.18,2.08
You call your father at home late at night and your boss answers.,Bring in donuts.,-0.67,1.64
"You forget to include a vegetarian option at the work BBQ. The company president, a vegetarian, is coming.",Channel your inner Wonder Woman.,-0.59,1.33
"You suggest a meeting over coffee, and your boss assumes it's a date.",Make crazy eyes until they wet their pants.,-0.14,-0.35
You're adjusting your Spanx alone in the elevator just as the doors open to reveal a waiting crowd.,Speak up and voice the truth!,0.13,1.45
"When a co-worker announces she's leaving early for a funeral, you instinctively say, ""Have fun!""",Ask Siri what to do.,1.87,-0.18
"You're showing colleagues your vacation photos, but you forgot about the nude selfie.",Play dead.,-0.72,-0.55
"When you bend over to tie your shoe, your pants split open. You really wish you hadn't worn those bright pink undies.",Bring coffee for everything with a special ingredient: laxatives.,5.40,-0.21
You're adjusting your Spanx alone in the elevator just as the doors open to reveal a waiting crowd.,Ask Siri what to do.,-0.05,1.40
Your boss refers to the custodian as Juan. His name is John.,Call your mom.,-1.01,-0.02
"Only one woman was invited to the planning meeting, and she's clearly noticed.",Start a slow clap.,3.34,-0.09
Your boss refers to the custodian as Juan. His name is John.,Tell them the devil made you do it.,5.19,-0.67
You laugh at a hilarious text during a meeting at the exact moment the boss announces that layoffs are coming.,Deny it ever happened.,1.54,-0.29
"A new technology innovation committee is formed, and you realize that no one over the age of 50 was invited to join.",Channel your inner Wonder Woman.,-0.49,0.64
"When a co-worker announces she's leaving early for a funeral, you instinctively say, ""Have fun!""",Make a run for the border.,0.18,-0.68
"You're showing colleagues your vacation photos, but you forgot about the nude selfie.",Call your mom.,-0.08,-0.58
"When recruiting players for the staff softball game, your boss approaches the gay women first.",Go take an emergency shower because you feel unclean.,3.37,0.09
"When you can't remember a name, you laugh and say, ""Oops, senior moment,"" before realizing that the colleagues you're talking to are over 65.",Play dead.,3.15,0.16
You get nervous and fake a British accent during your interview--and you get hired.,Hang your head in shame.,-0.68,1.34
You start telling a joke and realize halfway through you've forgotten the punch line.,Deny it ever happened.,-0.21,-0.44
You realize too late that the office banquet you planned is happening over Ramadan--while a colleague will be fasting.,Hang your head in shame.,0.03,0.29
"A co-worker tells a racist joke, then says, ""Don't worry, I stole that from Chris Rock.""",Ask for a raise.,0.79,-0.17
"You're showing colleagues your vacation photos, but you forgot about the nude selfie.",Go take an emergency shower because you feel unclean.,0.16,-0.05
"When recruiting players for the staff softball game, your boss approaches the gay women first.",Correct them instantly--do not hold back.,0.96,4.48
"When you can't remember a name, you laugh and say, ""Oops, senior moment,"" before realizing that the colleagues you're talking to are over 65.",Blame it on someone who already quit.,2.20,-0.22
"Your phone autocorrected ""six"" to ""sex"" in a text to your boss.",Ask for a raise.,0.76,-0.24
"A co-worker tells a racist joke, then says, ""Don't worry, I stole that from Chris Rock.""",Speak up and voice the truth!,-0.45,4.03
"When you can't remember a name, you laugh and say, ""Oops, senior moment,"" before realizing that the colleagues you're talking to are over 65.",Tell them the devil made you do it.,2.84,-0.24
Your boss tells you that rainbow flags are unprofessional.,Post passive-aggressive sticky notes.,1.89,-0.03
You're rocking out to the soundtrack of Disney's Frozen when you realize your headphones aren't plugged in and everyone's staring at you.,Put up your dukes and threaten to fight.,0.47,-0.24
"You say, ""Nice to meet you,"" to a visiting client. She replies, ""We've actually met. Twice.""",Accept it and move on.,-0.71,5.17
You try to show off by greeting your new colleague in fluent Chinese. She's Korean.,Hide in the bathroom until it all blows over.,0.91,-0.34
An unknown co-worker always leaves used tissues on the conference table.,Start updating your resume.,-0.30,0.66
"A new technology innovation committee is formed, and you realize that no one over the age of 50 was invited to join.",Open mouth. Insert both feet.,0.28,-0.07
An unknown co-worker always leaves used tissues on the conference table.,Start a slow clap.,1.47,0.44
"You say, ""Nice to meet you,"" to a visiting client. She replies, ""We've actually met. Twice.""",Deny it ever happened.,2.38,0.35
"Your colleague talks about his cats incessantly. Seriously, he won't stop.",Bring in donuts.,-0.51,0.73
You discover that your starting salary is lower than your colleague's despite having the same job title.,Start mentally drafting your letter of resignation.,-0.24,2.74
"Your colleague talks about his cats incessantly. Seriously, he won't stop.",Speak up and voice the truth!,0.64,3.45
"You refer to your new colleague as ""sir"" and she corrects you.",Post passive-aggressive sticky notes.,4.90,-0.30
You're rocking out to the soundtrack of Disney's Frozen when you realize your headphones aren't plugged in and everyone's staring at you.,Call security.,-0.38,-0.53
"Your colleague talks about his cats incessantly. Seriously, he won't stop.",Avoid eye contact and back away slowly.,0.86,1.38
You accidentally sit on ketchup at lunch.,Channel your inner Wonder Woman.,-0.26,0.62
You laugh at a hilarious text during a meeting at the exact moment the boss announces that layoffs are coming.,Hang your head in shame.,-0.20,1.03
"You repeatedly motion to a co-worker that he's got something on his face. He finally shouts, ""It's a mole!""",Deny it ever happened.,1.90,0.29
You realize too late that the office banquet you planned is happening over Ramadan--while a colleague will be fasting.,Laugh out loud and then abruptly stop.,4.79,-0.35
You accidentally sit on ketchup at lunch.,"Say, ""I'll be right back."" Lie.",-0.48,0.52
"You forget to include a vegetarian option at the work BBQ. The company president, a vegetarian, is coming.",Order a solution from Amazon.,-0.35,1.85
"A co-worker is proudly showing off his new ""Never don't give up"" tattoo.",Hang your head in shame.,0.23,1.01
You're using the only bathroom stall when someone runs in and frantically knocks on the door.,Start mentally drafting your letter of resignation.,-0.41,0.05
You discover that your starting salary is lower than your colleague's despite having the same job title.,Put up your dukes and threaten to fight.,1.91,-0.63
Your boss is in the bathroom stall next to you and starts a conversation.,Blame it on someone who already quit.,0.01,-0.48
You're adjusting your Spanx alone in the elevator just as the doors open to reveal a waiting crowd.,Fake a heart attack.,1.29,-0.30
You discover that your starting salary is lower than your colleague's despite having the same job title.,Play dead.,0.78,-0.67
"When a co-worker announces she's leaving early for a funeral, you instinctively say, ""Have fun!""",Curl up into the fetal position.,0.92,-0.12
"When you can't remember a name, you laugh and say, ""Oops, senior moment,"" before realizing that the colleagues you're talking to are over 65.",Open mouth. Insert both feet.,0.02,-0.37
A disgruntled co-worker calls you retarded during a heated debate.,Sneak out the fire escape.,0.11,-0.52
"Your phone autocorrected ""six"" to ""sex"" in a text to your boss.",Make a run for the border.,0.68,-0.60
"Your colleague talks about his cats incessantly. Seriously, he won't stop.",Blame it on someone who already quit.,-0.35,0.24
Your boss is in the bathroom stall next to you and starts a conversation.,Avoid eye contact and back away slowly.,0.56,0.11
You let one rip during the middle of the presentation. Shoulda skipped the chili at lunch...,Growl like a dog.,1.12,-0.65
"You repeatedly motion to a co-worker that he's got something on his face. He finally shouts, ""It's a mole!""",Eat your co-workers' lunches until you forget your shame.,2.76,-0.51
"You repeatedly motion to a co-worker that he's got something on his face. He finally shouts, ""It's a mole!""",Play dead.,1.16,-0.02
"When recruiting players for the staff softball game, your boss approaches the gay women first.",Claim it was your identical twin.,0.47,0.01
"Your boss tells you to use Photoshop to make the company's PR materials ""more multiracial.""",Pretend you don't speak English.,2.35,-0.16
"Only one woman was invited to the planning meeting, and she's clearly noticed.",Channel your inner Wonder Woman.,1.82,-0.10
You try to show off by greeting your new colleague in fluent Chinese. She's Korean.,Claim you were hacked.,6.18,-0.13
You start telling a joke and realize halfway through you've forgotten the punch line.,Ask Siri what to do.,-0.55,1.22
You accidentally sit on ketchup at lunch.,Pretend you don't speak English.,-0.26,0.01
You leave the handicapped stall only to find a person in a wheelchair waiting to use it.,Growl like a dog.,4.19,-0.54
An unknown co-worker always leaves used tissues on the conference table.,Open mouth. Insert both feet.,0.14,-0.16
"A new technology innovation committee is formed, and you realize that no one over the age of 50 was invited to join.",Blame it on someone who already quit.,0.08,-1.00
"Your boss tells you to use Photoshop to make the company's PR materials ""more multiracial.""",Blame it on someone who already quit.,0.58,-1.29
You discover that your starting salary is lower than your colleague's despite having the same job title.,Ask for a raise.,-0.98,4.40
"A new technology innovation committee is formed, and you realize that no one over the age of 50 was invited to join.",Call security.,-0.09,-0.94
"You and a colleague try to sidestep each other in a crowded hallway, but you both step in the same direction. Twice.","Say, ""I'll be right back."" Lie.",-0.49,-0.13
"Your colleague talks about his cats incessantly. Seriously, he won't stop.",Channel your inner Wonder Woman.,-0.51,-1.19
You accidentally sit on ketchup at lunch.,Ask Siri what to do.,-0.56,0.75
"When you can't remember a name, you laugh and say, ""Oops, senior moment,"" before realizing that the colleagues you're talking to are over 65.",Start updating your resume.,-0.04,-0.32
"When recruiting players for the staff softball game, your boss approaches the gay women first.",Rant about it on Twitter.,0.03,-0.18
You get nervous and fake a British accent during your interview--and you get hired.,Write your local congressperson.,-0.58,-0.59
"On a five-hour business road trip, your co-worker says, ""I made you a playlist that you'll really like. It's all Christian rock.""",Fake a heart attack.,0.50,-1.16
"Your boss tells you to use Photoshop to make the company's PR materials ""more multiracial.""","Say, ""I'll be right back."" Lie.",0.49,-0.65
You get nervous and fake a British accent during your interview--and you get hired.,Bring coffee for everything with a special ingredient: laxatives.,0.45,-1.15
"When your boss announces that there will be no holiday bonuses, your colleague says, ""Well, that's gay.""",Play dead.,1.92,-0.52
"When recruiting players for the staff softball game, your boss approaches the gay women first.",Call your mom.,0.16,-0.02
A disgruntled co-worker calls you retarded during a heated debate.,Stroke their ego. A little brown-nosing never hurts.,0.07,-0.53
"You and a colleague try to sidestep each other in a crowded hallway, but you both step in the same direction. Twice.",Put up your dukes and threaten to fight.,-0.41,-0.70
"Your boss tells you to use Photoshop to make the company's PR materials ""more multiracial.""",Start updating your resume.,-0.20,1.67
"When a co-worker announces she's leaving early for a funeral, you instinctively say, ""Have fun!""",Fake a heart attack.,1.23,-1.02
"Your phone autocorrected ""six"" to ""sex"" in a text to your boss.",Tell them the devil made you do it.,0.69,-0.37
"When you bend over to tie your shoe, your pants split open. You really wish you hadn't worn those bright pink undies.",Correct them instantly--do not hold back.,-0.22,0.34
You laugh at a hilarious text during a meeting at the exact moment the boss announces that layoffs are coming.,Laugh out loud and then abruptly stop.,1.31,-0.62
You realize too late that the office banquet you planned is happening over Ramadan--while a colleague will be fasting.,Go take an emergency shower because you feel unclean.,0.69,-0.91
You're adjusting your Spanx alone in the elevator just as the doors open to reveal a waiting crowd.,Play dead.,-0.65,-0.80
You realize too late that the wireless presentation microphone is still on during your bathroom break.,Curl up into the fetal position.,-0.17,-0.73
"A co-worker is proudly showing off his new ""Never don't give up"" tattoo.",Stroke their ego. A little brown-nosing never hurts.,-0.17,3.02
"When recruiting players for the staff softball game, your boss approaches the gay women first.",Make crazy eyes until they wet their pants.,1.18,-1.07
"A co-worker is proudly showing off his new ""Never don't give up"" tattoo.",Channel your inner Wonder Woman.,0.30,0.15
"When you can't remember a name, you laugh and say, ""Oops, senior moment,"" before realizing that the colleagues you're talking to are over 65.",Accept it and move on.,0.20,1.79
You start telling a joke and realize halfway through you've forgotten the punch line.,Write your local congressperson.,-0.80,-1.01
"You're showing colleagues your vacation photos, but you forgot about the nude selfie.",Order a solution from Amazon.,-0.14,-0.66
"When recruiting players for the staff softball game, your boss approaches the gay women first.",Start mentally drafting your letter of resignation.,-0.70,-0.23
"You suggest a meeting over coffee, and your boss assumes it's a date.",Put up your dukes and threaten to fight.,0.63,-0.64
"Your blind colleague tells you about her recent promotion. You hold up your hand and say, ""High five!""",Tell them the devil made you do it.,0.68,-0.13
You call your father at home late at night and your boss answers.,Start updating your resume.,-0.01,1.59
"You curse loudly when your computer crashes. A co-worker and his young son are standing right there, aghast.",Curl up into the fetal position.,0.17,-0.88
"You curse loudly when your computer crashes. A co-worker and his young son are standing right there, aghast.",Start a slow clap.,0.11,-0.99
Your big order from Adult Fantasy Emporium gets delivered to work accidentally--and someone opened it.,Channel your inner Wonder Woman.,-0.28,-0.35
There's a picture with your face photoshopped onto a naked model posted in the stairwell.,Put up your dukes and threaten to fight.,-0.44,-0.51
You reply to a co-worker before realizing he was actually talking on his Bluetooth.,Ask for a raise.,-0.75,-0.93
You reply to a co-worker before realizing he was actually talking on his Bluetooth.,Start a slow clap.,-0.65,0.03
"Your boss always makes a point to ask the minority employees for the their ""unique"" perspective.",Order a solution from Amazon.,-0.18,-0.82
Your big order from Adult Fantasy Emporium gets delivered to work accidentally--and someone opened it.,Laugh out loud and then abruptly stop.,0.36,-0.34
You accidentally sit on ketchup at lunch.,Correct them instantly--do not hold back.,-0.61,-0.50
You start telling a joke and realize halfway through you've forgotten the punch line.,Fake a heart attack.,-0.33,-0.51
"When a co-worker announces she's leaving early for a funeral, you instinctively say, ""Have fun!""",Claim you were hacked.,0.30,-0.91
"You and a colleague try to sidestep each other in a crowded hallway, but you both step in the same direction. Twice.",Make a run for the border.,0.60,-0.41
You're rocking out to the soundtrack of Disney's Frozen when you realize your headphones aren't plugged in and everyone's staring at you.,Growl like a dog.,-0.03,-0.22
Your big order from Adult Fantasy Emporium gets delivered to work accidentally--and someone opened it.,Post passive-aggressive sticky notes.,0.68,-0.93
You leave the handicapped stall only to find a person in a wheelchair waiting to use it.,Eat your co-workers' lunches until you forget your shame.,0.11,-1.17
"When recruiting players for the staff softball game, your boss approaches the gay women first.",Play dead.,0.85,-0.76
"When recruiting players for the staff softball game, your boss approaches the gay women first.",Deny it ever happened.,2.89,-0.48
You realize too late that the wireless presentation microphone is still on during your bathroom break.,Bring coffee for everything with a special ingredient: laxatives.,3.77,-0.35
Your boss tells you that rainbow flags are unprofessional.,Put up your dukes and threaten to fight.,1.87,-0.44
You're using the only bathroom stall when someone runs in and frantically knocks on the door.,Channel your inner Wonder Woman.,-0.80,-0.71
You're rocking out to the soundtrack of Disney's Frozen when you realize your headphones aren't plugged in and everyone's staring at you.,Order a solution from Amazon.,-0.86,-0.02
"When your boss announces that there will be no holiday bonuses, your colleague says, ""Well, that's gay.""",Ask for a raise.,0.81,0.40
Your boss tells you that rainbow flags are unprofessional.,Claim it was your identical twin.,-0.65,-0.62
You accidentally sit on ketchup at lunch.,Write your local congressperson.,-0.56,-0.78
"When you bend over to tie your shoe, your pants split open. You really wish you hadn't worn those bright pink undies.",Start a slow clap.,-0.24,0.37
