index,moment
21,"You are a junior faculty member, and you hear your colleague say: “this place feels like the more senior faculty are constantly watching what I do and when, and judging how I speak; it feels that I am being evaluated all the time.”"
22,"You are a graduate student whose faculty advisor says to you, “A postdoc is always a good idea, unless you are married.”"
23,"You are a faculty member attending an invitation-only meeting with a distinguished visitor. There are 20 faculty members in attendance, and only one is a woman."
24,"You are a junior female faculty member and a senior male faculty member advises you to watch out for the only other female faculty member in your department, stating, “She’s your competition.”"
25,You are a faculty member talking with another faculty colleague. This colleague comments that a particular female PhD student doesn't need her stipend and scholarship as much as the other PhD students because her husband has a good income and they have a nice house.
26,"You are a single woman applying to a potential job in Pittsburgh. Someone says to you, “Pittsburgh is a great place to raise a family.”"
27,"You are white. You ask a black friend what they use for sun block and then say, ""Oh no, you don't need it.” Your friend says, “Yes, actually. I do.”"
28,"You are a female faculty member chairing a hiring committee with all male committee members. You got behind in work when a friend was near death in the hospital. When you arrived at the meeting frazzled, the committee members got on your case and then said, ""Now you are going to accuse us of discriminating."""
29,"You are a job applicant who graduated from a university that isn’t top rated, and the interviewer says, “We only interview people from top schools.”"
30,"You are a young female assistant professor. A senior male colleague describes how, when he was an assistant professor, he used to work 80 hours per week, implying that you are not working enough hours."
31,"You are a young faculty member, and students often mistake you for the TA on the first day of class when you’re co-teaching with a more senior colleague.  "
32,You have delayed speech (kind of like a stutter).  Another colleague finishes your sentences or jumps in and speaks during your pauses.
33,You are a female faculty member. Someone in the department assumes you are an administrative assistant.
34,"You are African American and a colleague asks if you know someone and then says, “I thought you’d know her since she’s African American.”"
35,"You are in a meeting to discuss diversity-related issues. A high-level administrator at the university states that a problem with the #MeToo movement is that now women want to ""jump on the bandwagon"" and are falsely accusing men of sexual assault."
36,"You are part of a meeting where a man was allowed to talk for a long time.  Then, when a woman speaks, the meeting chair says, ""Hurry up, we are short on time."""
37,"You are a faculty member who realizes that senior faculty comment on gender imbalance with respect to service, but are unwilling to say something to the dean and other administrators."
38,"You are a female faculty member with very young children. Despite never seeming to ask male colleagues with young children a similar question, one faculty member has once again asked you “Who is taking care of your children?” "
39,"You are a potential job recruit and an African American. During the recruitment process someone discussing where to live says, “These are the bad neighborhoods…” You learn that the list is of every black neighborhood in the city."
40,"You are an employee who realizes that, with respect to diversity and equity, senior administrators seem to have very little idea what best practice is."
41,You are a female professor whose students routinely bump into you on campus and are not courteous in the hallways. Your male colleagues tell you that they don't have this problem.
42,You ask your new administrative assistant what her husband does.  She corrects you: her spouse is female.
43,"You are a female employee applying for a promotion. During your application process, your next level manager repeatedly suggests that you might be too young for the job, even though all of your male predecessors had received this promotion at around the same career stage with no question of their ""age""."
44,"You are at a university function where you mention that you completed your PhD at this university and are now part of the faculty. In response, a Trustee said, “That's great that the university changes standards to allow people like you to complete a degree.”"
45,"You are a faculty member at a holiday party. Several years before, a senior faculty member told you that you were hired because you’re attractive. At the holiday party, this same faculty member hits on you. You’re married and so is he."
46,"A senior colleague has repeatedly told your junior colleagues that they couldn't possibly know about challenges of teaching, research, and service to the university because they are junior faculty."
47,"You are a female faculty member whose spouse has a disability. When at a buffet for the department, the Dean’s wife helps a Senior Professor at a buffet, and he says, ""Isn't it wonderful that we have spouses to make life easy for us?” "
48,You are part of a committee reviewing applications to the PhD program. A recommendation letter for a female PhD applicant praises her for not crying like other girls after her undergraduate research was criticized by a senior faculty member.
49,"You are a newly appointed Dean and you are visiting each department at faculty meetings to answer questions. A university professor asks you, ""What are you going to do about all of the Asians on campus?"""
50,"You are a female employee. Your boss tells you he'd rather give the promotion to a male colleague because promoting you would be a waste, as you might leave to have a baby."
51,"You are a female job applicant to a university. During your interview, an interviewer says “We’re setting up a meeting for you in the medical school since we know that women always like applied research.”"
52,"You are a working parent, who spends time with your kids in the weekends. Your department head asks you why haven’t you published much in the past year and then adds “Why don’t you hire a babysitter?”."
53,"You are part of a faculty search committee meeting. A candidate is criticized because “her advisor was really the brains behind her dissertation research.” There is no evidence in her materials or letters that this is the case, and her advisor’s letter specifically mentions her innovative ideas."
54,"Imagine that every morning, you hear a Full Professor faculty in your department greet an Assistant Professor with a comment on her hair."
55,You are a parent. You have been told by your department head that you should bring your kids to work and let them play in your office while you work instead of taking them to daycare.
56,"You are a faculty member who recently received a prestigious external award. While talking to a colleague about the department head search, he says: ""We are going to have to recruit someone externally because there is nobody here who has the necessary external notoriety for this prestigious position.”"
57,"You are an accomplished female researcher. But since you gave birth 1.5 years ago, one of your senior colleagues will talk to you only about his grandchildren and your child."
58,You are a faculty member discussing diversity with a colleague. He tells you: “I don’t need to do more because I have advised 3 black students before.” This was over a 35-year career span.
59,"You are part of a collaborative project. You keep describing a phenomenon with a term that you were unaware carried sexual innuendo. Your two collaborators didn't bother to tell you until you had given a public talk, and an outside colleague ""kindly"" mentions it during a banquet dinner in front of everyone."
60,"You are in the audience at a talk given by a very popular faculty member. He makes several remarks on the kind of things you can get if you have your own business: ""things"" including a nice car, big house, and beautiful women."
61,"You are at a project meeting with students and a faculty member. The faculty member says that we are all going to vote for the liberal candidate in an election, but you know that some of the students in the meeting are politically conservative.  "
62,"You pass by two faculty members speaking about an unconscious bias project. One says to the other, ""I think it's great that you folks are addressing unconscious bias, we are really lucky in my department, we don't see that kind of bias."""
63,"You are a faculty member at the faculty teaching awards for your college. Despite the many female faculties in the college who are eligible for the award, for the fifteenth year in a row, all the awards are won by men."
64,You are a female junior African American professor and a senior male professor tells you that your hair looks better now that it is blond.
65,You are in a meeting where your department head says: “Making demands to junior faculty is not gender neutral. There are demands that are not part of man’s life.”
66,"You are the husband of a female professor. At a department party, a male colleague of your wife says to you, “She’s doing great work but she’s moving too fast. You should slow her down.”"
67,"You are part of a hiring committee. When interviewing a very openly gay candidate, a faculty member makes a comment about how neat his hair and his clothes are."
68,"A male department head seems to be avoiding an underrepresented minority faculty member. Luckily, you, a faculty in the same department, notice and ask him about it. The department head says, ""I worry I'll say or do something wrong. Things seem so heated these days. I don't want to get in trouble."""
69,You hear a senior colleague tell another senior colleague that she was hired because she was so pretty.
70,"You are a student in a class. During the first week of class the professor asks for volunteers to be small group leaders. Three of the seven volunteers are Asian. After surveying the volunteers, the professor adds another comment: ""This role requires excellent communication skills."""
71,"While discussing the University President’s postdoc minority program, comments showed an implicit assumption that the candidates will be of lower quality."
72,"You are running a workshop on unconscious bias, where people work in groups to act out scenarios. Standing is important for this activity, in order to clearly see body signals. You ask everyone to stand, but you notice one group did not stand. You repeat the request and only then see one person is in a wheelchair."
73,"You are in a meeting where, every time there is an unflattering statistic on equity, other faculty argue that this university is “special”."
74,"You are student with multiple sclerosis who uses a Segway as a mobility device inside of buildings.  A faculty member tells you, ""You can't use that in here.""  "
75,You are a student in a class. Another student repeatedly addresses the female professor as Mrs. rather than Dr.
76,"You are a graduate student and you say to your office mate, ""It looks like we'll be having a 3rd graduate student in our office; he's from China."" Your office mate says, ""Yes, he can have the desk next to you! I probably won't be able to understand a word he says. I'm too busy to be interpreting all the time."""
77,Your colleague was very active in LGBT groups and often mentioned her work with the LGBT community; clearly this was very important to her. You assumed she was gay. She recently got married to a guy.
78,"You are co-teaching a course where students use computers in class and one student is typing with only one hand. You had previously noticed this student had a disabled hand and was only typing with the other. Your co-teacher said to the student, ""Why aren't you using two hands? Use two hands!"""
79,"You are a minority junior faculty member, and you were just interrupted again at faculty meeting."
